time [d],date,hour,Snow Refreeze[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Canopy Evaporation[mm],Canopy Snow Evaporation[mm],Snow Melt & Refreeze[mm],Overflow[mm],Infiltration[mm],Infiltration[mm],Flush[mm],Soil Evaporation[mm],Capillary Rise[mm],Soil Evaporation[mm],Percolation[mm],Baseflow[mm],Baseflow[mm]
,,from:,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,CANOPY,CANOPY_SNOW,SNOW,SNOW_LIQ,PONDED_WATER,PONDED_WATER,SURFACE_WATER,SOIL[0],SOIL[1],SOIL[0],SOIL[1],SOIL[1],SOIL[2]
,,to:,SNOW,SURFACE_WATER,ATMOSPHERE,ATMOS_PRECIP,PONDED_WATER,SOIL[0],SOIL[1],SOIL[2],SNOW_LIQ,SNOW,CANOPY,CANOPY_SNOW,ATMOSPHERE,ATMOSPHERE,PONDED_WATER,PONDED_WATER,SOIL[0],SURFACE_WATER,SOIL[1],ATMOSPHERE,SOIL[0],ATMOSPHERE,SOIL[2],SURFACE_WATER,SURFACE_WATER
473,2004-01-17,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,160.349,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.457,75.9008,274.383,138.61,118.455,142.459
474,2004-01-18,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,161.394,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.486,75.9008,274.412,138.61,118.455,142.73
475,2004-01-19,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,163.375,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.527,75.9008,274.451,138.61,118.455,142.989
476,2004-01-20,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,163.689,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.548,75.9008,274.472,138.61,118.455,143.236
477,2004-01-21,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,163.814,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.561,75.9008,274.486,138.61,118.455,143.473
478,2004-01-22,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,167.498,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.6,75.9008,274.524,138.61,118.455,143.699
479,2004-01-23,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,169.73,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.634,75.9008,274.557,138.61,118.455,143.915
480,2004-01-24,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,170.068,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.642,75.9008,274.565,138.61,118.455,144.121
481,2004-01-25,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,170.256,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.642,75.9008,274.565,138.61,118.455,144.319
482,2004-01-26,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,170.256,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.645,75.9008,274.568,138.61,118.455,144.508
483,2004-01-27,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,171.977,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.672,75.9008,274.595,138.61,118.455,144.688
484,2004-01-28,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,174.065,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.713,75.9008,274.635,138.61,118.455,144.861
485,2004-01-29,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,177.096,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.74,75.9008,274.662,138.61,118.455,145.026
486,2004-01-30,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,177.983,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.756,75.9008,274.678,138.61,118.455,145.184
487,2004-01-31,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,184.7,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.774,75.9008,274.696,138.61,118.455,145.334
488,2004-02-01,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,187.07,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.803,75.9008,274.724,138.61,118.455,145.478
489,2004-02-02,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,187.07,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.835,75.9008,274.757,138.61,118.455,145.616
490,2004-02-03,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,6.99882,188.456,5.15146,0.0930526,5.15146,0.0930526,148.182,3.65266,557.492,322.966,322.966,355.886,75.9008,274.807,138.61,118.455,145.748
491,2004-02-04,00:00:00.00,3.34616,0,0,0,728.623,0,0,0,7.03899,189.338,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,355.938,75.9117,274.859,138.64,118.455,145.875
492,2004-02-05,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,189.443,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,355.976,75.9117,274.897,138.64,118.455,145.997
493,2004-02-06,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,189.906,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.016,75.9117,274.936,138.64,118.455,146.113
494,2004-02-07,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,190.829,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.074,75.9117,274.994,138.64,118.455,146.224
495,2004-02-08,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,190.829,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.107,75.9117,275.026,138.64,118.455,146.331
496,2004-02-09,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,190.829,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.139,75.9117,275.058,138.64,118.455,146.432
497,2004-02-10,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,191.186,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.194,75.9117,275.113,138.64,118.455,146.529
498,2004-02-11,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,192.115,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.229,75.9117,275.147,138.64,118.455,146.622
499,2004-02-12,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,192.284,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.269,75.9117,275.188,138.64,118.455,146.711
500,2004-02-13,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,192.347,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.32,75.9117,275.238,138.64,118.455,146.796
501,2004-02-14,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,192.347,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.361,75.9117,275.279,138.64,118.455,146.877
502,2004-02-15,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,192.892,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.408,75.9117,275.325,138.64,118.455,146.955
503,2004-02-16,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,192.892,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.409,75.9117,275.326,138.64,118.455,147.029
504,2004-02-17,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,192.892,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.43,75.9117,275.347,138.64,118.455,147.1
505,2004-02-18,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,192.892,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.47,75.9117,275.385,138.64,118.455,147.167
506,2004-02-19,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,192.892,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.516,75.9117,275.43,138.64,118.455,147.232
507,2004-02-20,00:00:00.00,3.38634,0,0,0,728.623,0,0,0,7.03899,193.035,5.15146,0.0930526,5.15146,0.0930526,148.23,3.65266,557.499,323.006,323.006,356.577,75.9117,275.489,138.64,118.455,147.294
508,2004-02-21,00:00:00.00,3.38634,0,0,0,729.04,0,0,0,7.56674,194.909,5.15146,0.0930526,5.15146,0.0930526,148.893,3.66072,558.037,323.557,323.557,356.633,76.0213,275.546,138.698,118.577,147.356
509,2004-02-22,00:00:00.00,3.5757,0,0,0,729.04,0,0,0,7.56674,195.811,5.15146,0.0930526,5.15146,0.0930526,148.893,3.66072,558.037,323.557,323.557,356.68,76.0297,275.591,138.753,118.61,147.417
510,2004-02-23,00:00:00.00,3.62955,0,0,0,729.04,0,0,0,7.56674,195.94,5.15146,0.0930526,5.15146,0.0930526,148.893,3.66072,558.037,323.557,323.557,356.739,76.038,275.649,138.808,118.619,147.479
511,2004-02-24,00:00:00.00,3.76956,0,0,0,729.04,0,0,0,7.56674,196.488,5.15146,0.0930526,5.15146,0.0930526,148.893,3.66072,558.037,323.557,323.557,356.798,76.0462,275.707,138.863,118.62,147.54
512,2004-02-25,00:00:00.00,3.88802,0,0,0,729.04,0,0,0,7.56674,196.617,5.15146,0.0930526,5.15146,0.0930526,148.893,3.66072,558.037,323.557,323.557,356.853,76.0543,275.761,138.883,118.62,147.599
513,2004-02-26,00:00:00.00,3.90602,0,0,0,729.04,0,0,0,7.56674,196.617,5.15146,0.0930526,5.15146,0.0930526,148.893,3.66072,558.037,323.557,323.557,356.92,76.0543,275.828,138.883,118.62,147.655
514,2004-02-27,00:00:00.00,3.90602,0,0,0,729.04,0,0,0,7.56674,196.617,5.15146,0.0930526,5.15146,0.0930526,148.893,3.66072,558.037,323.557,323.557,356.987,76.0543,275.893,138.883,118.62,147.709
515,2004-02-28,00:00:00.00,3.90602,0,0,0,729.04,0,0,0,7.56674,196.617,5.15146,0.0930526,5.15146,0.0930526,148.893,3.66072,558.037,323.557,323.557,357.065,76.0543,275.968,138.883,118.62,147.761
516,2004-02-29,00:00:00.00,3.90602,0,0,0,729.04,0,0,0,7.56674,196.617,5.15146,0.0930526,5.15146,0.0930526,148.893,3.66072,558.037,323.557,323.557,357.14,76.0543,276.042,138.883,118.62,147.81
517,2004-03-01,00:00:00.00,3.90602,0,0,0,729.04,0,0,0,7.56674,196.617,5.15146,0.0930526,5.15146,0.0930526,152.329,3.66072,559.202,325.829,325.829,357.824,76.2921,276.571,139.376,118.85,147.879
518,2004-03-02,00:00:00.00,3.90602,0,0,0,729.298,0,0,0,8.6293,196.617,5.15146,0.0930526,5.15146,0.0930526,154.324,3.66072,559.703,327.579,327.579,358.302,76.4178,276.915,139.866,119.423,147.967
519,2004-03-03,00:00:00.00,3.90602,0,0,0,730.841,0,0,0,8.85215,196.617,5.15146,0.0930526,5.15146,0.0930526,158.898,3.66072,561.653,331.746,331.746,358.796,76.6719,277.344,140.376,121.994,148.073
520,2004-03-04,00:00:00.00,3.90602,0,0,0,730.841,0,0,0,9.16613,196.617,5.15146,0.0930526,5.15146,0.0930526,160.572,3.66072,561.826,333.247,333.247,359.009,76.739,277.529,140.867,123.236,148.196
521,2004-03-05,00:00:00.00,3.90602,0,0,0,733.931,0,0,0,9.56428,196.617,5.15146,0.0930526,5.15146,0.0930526,162.585,3.76134,562.912,337.365,337.365,359.289,76.9219,277.791,141.384,126.34,148.336
522,2004-03-06,00:00:00.00,3.90602,0,0,0,752.812,0,0,0,9.56428,196.617,5.15146,0.0930526,5.15146,0.0930526,170.992,4.18173,575.348,352.638,352.638,360.746,77.3388,279.25,142.83,141.177,148.534
523,2004-03-07,00:00:00.00,4.37699,0,0,0,752.812,0,0,0,9.56428,196.617,5.15146,0.0930526,5.15146,0.0930526,170.992,4.18173,575.348,352.638,352.638,361.513,77.7889,280.02,143.512,141.205,148.753
524,2004-03-08,00:00:00.00,4.69097,0,0,0,754.865,0,0,0,9.56428,201.171,5.15146,0.0930526,5.15146,0.0930526,171.023,4.18264,576.193,353.877,353.877,361.626,78.2277,280.133,144.338,141.219,148.998
525,2004-03-09,00:00:00.00,5.18292,0,0,0,754.865,0,0,0,9.56428,202.457,5.15146,0.0930526,5.15146,0.0930526,171.023,4.18264,576.193,353.877,353.877,361.764,78.2507,280.271,144.381,141.22,149.235
526,2004-03-10,00:00:00.00,5.3715,0,0,0,754.865,0,0,0,9.56428,203.743,5.15146,0.0930526,5.15146,0.0930526,171.023,4.18264,576.193,353.877,353.877,361.945,78.2656,280.452,144.392,141.22,149.462
527,2004-03-11,00:00:00.00,5.37527,0,0,0,754.865,0,0,0,9.56428,203.743,5.15146,0.0930526,5.15146,0.0930526,171.023,4.18264,576.193,353.877,353.877,362.172,78.2656,280.679,144.392,141.22,149.679
528,2004-03-12,00:00:00.00,5.37527,0,0,0,755.027,0,0,0,10.0129,205.943,5.15146,0.0930526,5.15146,0.0930526,171.211,4.18264,576.269,354.152,354.152,362.362,78.3675,280.869,144.45,141.231,149.889
529,2004-03-13,00:00:00.00,5.83019,0,0,0,755.027,0,0,0,10.0129,207.332,5.15146,0.0930526,5.15146,0.0930526,171.211,4.18264,576.269,354.152,354.152,362.447,78.37,280.953,144.505,141.233,150.092
530,2004-03-14,00:00:00.00,5.83028,0,0,0,755.027,0,0,0,10.0129,207.332,5.15146,0.0930526,5.15146,0.0930526,171.211,4.18264,576.269,354.152,354.152,362.599,78.3726,281.106,144.546,141.233,150.288
531,2004-03-15,00:00:00.00,5.83028,0,0,0,755.027,0,0,0,10.0129,209.763,5.15146,0.0930526,5.15146,0.0930526,171.211,4.18264,576.269,354.152,354.152,362.772,78.3726,281.266,144.546,141.233,150.475
532,2004-03-16,00:00:00.00,5.83028,0,0,0,755.027,0,0,0,10.0129,209.763,5.15146,0.0930526,5.15146,0.0930526,171.211,4.18264,576.269,354.152,354.152,362.881,78.3726,281.37,144.546,141.233,150.655
533,2004-03-17,00:00:00.00,5.83028,0,0,0,755.027,0,0,0,10.0129,211.407,5.15146,0.0930526,5.15146,0.0930526,171.211,4.18264,576.269,354.152,354.152,362.95,78.3726,281.437,144.546,141.233,150.826
534,2004-03-18,00:00:00.00,5.83028,0,0,0,755.027,0,0,0,10.0129,212.109,5.15146,0.0930526,5.15146,0.0930526,171.211,4.18264,576.269,354.152,354.152,363.043,78.3726,281.527,144.546,141.233,150.989
535,2004-03-19,00:00:00.00,5.83028,0,0,0,755.027,0,0,0,10.0129,212.109,5.15146,0.0930526,5.15146,0.0930526,171.211,4.18264,576.269,354.152,354.152,363.158,78.3726,281.637,144.546,141.233,151.146
536,2004-03-20,00:00:00.00,5.83028,0,0,0,755.027,0,0,0,10.0129,212.386,5.15146,0.0930526,5.15146,0.0930526,171.211,4.18264,576.269,354.152,354.152,363.306,78.3726,281.779,144.546,141.233,151.296
537,2004-03-21,00:00:00.00,5.83028,0,0,0,760.631,0,0,0,12.1957,212.386,5.15146,0.0930526,5.15146,0.0930526,177.417,4.47449,580.58,361.942,361.942,363.516,78.7599,281.987,145.874,142.543,151.497
538,2004-03-22,00:00:00.00,7.70334,0,0,0,760.631,0,0,0,12.1957,212.449,5.15146,0.0930526,5.15146,0.0930526,177.417,4.47449,580.58,361.942,361.942,363.657,79.1001,282.127,147.201,142.895,151.748
539,2004-03-23,00:00:00.00,7.7212,0,0,0,760.631,0,0,0,12.1957,212.763,5.15146,0.0930526,5.15146,0.0930526,177.417,4.47449,580.58,361.942,361.942,363.782,79.4344,282.251,148.529,142.948,152.046
540,2004-03-24,00:00:00.00,7.7212,0,0,0,760.631,0,0,0,12.1957,214.488,5.15146,0.0930526,5.15146,0.0930526,177.417,4.47449,580.58,361.942,361.942,363.951,79.7638,282.402,149.155,142.949,152.359
541,2004-03-25,00:00:00.00,7.7212,0,0,0,762.487,0,0,0,13.1308,214.488,5.15146,0.0930526,5.15146,0.0930526,183.179,4.66662,582.41,367.923,367.923,365.003,80.1386,283.448,150.5,143.707,152.717
542,2004-03-26,00:00:00.00,7.7212,0,0,0,764.229,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,194.399,5.2262,583.779,380.076,380.076,366.603,80.5515,285.048,151.938,156.509,153.123
543,2004-03-27,00:00:00.00,7.7212,0,0,0,776.644,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,208.07,5.90976,588.446,402.179,402.179,367.839,80.8978,286.283,153.384,173.543,153.575
544,2004-03-28,00:00:00.00,7.7212,0,0,0,776.644,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,218.018,6.40712,588.657,412.412,412.412,368.965,81.2976,287.411,154.83,182.345,154.07
545,2004-03-29,00:00:00.00,7.7212,0,0,0,776.644,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,220.152,6.51385,588.741,414.569,414.569,370.694,81.768,289.143,156.192,183.391,154.603
546,2004-03-30,00:00:00.00,7.7212,0,0,0,782.269,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,220.42,6.52726,589.58,419.636,419.636,373.137,82.304,291.589,157.547,186.668,155.173
547,2004-03-31,00:00:00.00,7.7212,0,0,0,805.78,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,220.606,6.53652,600.165,432.757,432.757,374.261,82.6352,292.716,158.993,193.41,155.781
548,2004-04-01,00:00:00.00,7.7212,0,0,0,807.635,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,220.732,6.54284,600.545,434.364,434.364,375.27,83.0087,293.728,160.439,195.247,156.426
549,2004-04-02,00:00:00.00,7.7212,0,0,0,810.132,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,220.821,6.54731,601.137,436.363,436.363,376.358,83.4159,294.818,161.885,196.376,157.106
550,2004-04-03,00:00:00.00,7.7212,0,0,0,810.647,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,220.989,6.55568,601.301,436.89,436.89,377.412,83.8697,295.874,163.331,196.813,157.82
551,2004-04-04,00:00:00.00,7.7212,0,0,0,811.892,0,0,0,14.3379,214.488,5.15146,0.0930526,5.15146,0.0930526,221.143,6.56341,601.643,437.955,437.955,379.736,84.4004,298.198,164.771,197.04,158.566
552,2004-04-05,00:00:00.00,7.77283,0,0,0,811.892,0,0,0,14.3379,215.131,5.15146,0.0930526,5.15146,0.0930526,221.143,6.56341,601.643,437.955,437.955,380.048,84.9803,298.51,165.823,197.062,159.325
553,2004-04-06,00:00:00.00,7.7745,0,0,0,811.892,0,0,0,14.3379,215.131,5.15146,0.0930526,5.15146,0.0930526,221.143,6.56341,601.643,437.955,437.955,380.646,84.9889,299.107,165.849,197.067,160.052
554,2004-04-07,00:00:00.00,7.7745,0,0,0,811.895,0,0,0,14.3384,217.032,5.15146,0.0930526,5.15146,0.0930526,221.143,6.56341,601.644,437.958,437.958,380.904,85.0012,299.366,165.876,197.068,160.749
555,2004-04-08,00:00:00.00,7.7745,0,0,0,811.895,0,0,0,14.3384,217.032,5.15146,0.0930526,5.15146,0.0930526,223.765,6.56341,602.625,439.599,439.599,382.784,85.6632,301.25,166.812,197.073,161.455
556,2004-04-09,00:00:00.00,7.7745,0,0,0,811.895,0,0,0,14.3384,217.032,5.15146,0.0930526,5.15146,0.0930526,223.928,6.56341,602.682,439.705,439.705,385.164,85.6744,303.626,166.839,197.098,162.132
557,2004-04-10,00:00:00.00,7.7745,0,0,0,811.895,0,0,0,14.3384,217.032,5.15146,0.0930526,5.15146,0.0930526,224.039,6.56341,602.723,439.774,439.774,387.237,85.6858,305.647,166.866,197.125,162.781
558,2004-04-11,00:00:00.00,7.7745,0,0,0,811.895,0,0,0,14.3384,217.032,5.15146,0.0930526,5.15146,0.0930526,224.125,6.56341,602.758,439.825,439.825,388.896,85.698,307.094,166.892,197.146,163.402
559,2004-04-12,00:00:00.00,7.7745,0,0,0,811.895,0,0,0,14.3384,217.032,5.15146,0.0930526,5.15146,0.0930526,224.199,6.56341,602.79,439.868,439.868,389.825,85.7108,307.658,166.919,197.161,163.996
560,2004-04-13,00:00:00.00,7.7745,0,0,0,812.967,0,0,0,14.3518,217.032,5.15146,0.0930526,5.15146,0.0930526,224.343,6.56341,603.802,440.071,440.071,390.735,85.8478,308.193,166.946,197.185,164.566
561,2004-04-14,00:00:00.00,7.7745,0,0,0,817.854,0,0,0,14.3518,217.032,5.15146,0.0930526,5.15146,0.0930526,224.412,6.56341,608.204,440.626,440.626,391.495,86.3006,308.948,166.99,197.209,165.113
562,2004-04-15,00:00:00.00,7.7745,0,0,0,817.854,0,0,0,14.3518,217.032,5.15146,0.0930526,5.15146,0.0930526,224.592,6.5697,608.289,440.726,440.726,393.126,86.3263,310.226,167.035,197.242,165.637
563,2004-04-16,00:00:00.00,7.7745,0,0,0,817.854,0,0,0,14.3518,217.032,5.15146,0.0930526,5.15146,0.0930526,224.777,6.57657,608.375,440.832,440.832,393.888,86.3522,310.509,167.067,197.292,166.14
564,2004-04-17,00:00:00.00,7.7745,0,0,0,818.434,0,0,0,14.3526,217.032,5.156,0.0930526,5.156,0.0930526,224.807,6.57806,608.95,440.869,440.869,394.509,86.3701,310.663,167.093,197.316,166.622
565,2004-04-18,00:00:00.00,7.7745,0,0,0,827.164,0,0,0,14.3526,217.032,5.23198,0.0930526,5.23198,0.0930526,224.807,6.57806,617.434,441.115,441.115,397.825,86.4819,313.983,167.137,197.351,167.085
566,2004-04-19,00:00:00.00,7.7745,0,0,0,838.889,0,0,0,14.3526,217.032,5.33315,0.0930526,5.33315,0.0930526,224.807,6.57806,626.832,443.442,443.442,401.825,87.3806,317.993,168.398,197.45,167.583
567,2004-04-20,00:00:00.00,7.7745,0,0,0,839.515,0,0,0,14.3526,217.032,5.33783,0.0930526,5.33783,0.0930526,224.807,6.57806,627.258,443.642,443.642,405.377,87.6233,319.206,168.442,197.469,168.061
568,2004-04-21,00:00:00.00,7.7745,0,0,0,840.499,0,0,0,14.3526,217.032,5.34506,0.0930526,5.34506,0.0930526,224.807,6.57806,628.136,443.748,443.748,406.039,87.7528,319.57,168.486,197.471,168.519
569,2004-04-22,00:00:00.00,7.7745,0,0,0,849.661,0,0,0,14.3526,217.032,5.42699,0.0930526,5.42699,0.0930526,224.807,6.57806,636.9,444.146,444.146,409.566,88.0356,322.812,168.515,197.509,168.959
570,2004-04-23,00:00:00.00,7.7745,0,0,0,849.788,0,0,0,14.3526,217.032,5.42819,0.0930526,5.42819,0.0930526,224.807,6.57806,636.992,444.181,444.181,411.083,88.0848,323.488,168.533,197.517,169.38
571,2004-04-24,00:00:00.00,7.7745,0,0,0,849.788,0,0,0,14.3526,217.032,5.42819,0.0930526,5.42819,0.0930526,224.807,6.57806,636.992,444.181,444.181,411.438,88.0983,323.603,168.55,197.518,169.784
572,2004-04-25,00:00:00.00,7.7745,0,0,0,849.788,0,0,0,14.3526,217.032,5.42819,0.0930526,5.42819,0.0930526,224.807,6.57806,636.992,444.181,444.181,411.464,88.1117,323.623,168.551,197.518,170.17
573,2004-04-26,00:00:00.00,7.7745,0,0,0,853.212,0,0,0,14.3526,217.032,5.45925,0.0930526,5.45925,0.0930526,224.807,6.57806,640.335,444.262,444.262,413.294,88.1555,324.48,168.569,197.519,170.539
574,2004-04-27,00:00:00.00,7.7745,0,0,0,856.615,0,0,0,14.3526,217.032,5.48973,0.0930526,5.48973,0.0930526,224.807,6.57806,643.345,444.654,444.654,415.525,88.5081,325.578,168.599,197.521,170.894
575,2004-04-28,00:00:00.00,7.7745,0,0,0,857.124,0,0,0,14.3526,217.032,5.49453,0.0930526,5.49453,0.0930526,224.807,6.57806,643.794,444.715,444.715,415.924,88.5725,325.859,168.616,197.521,171.234
576,2004-04-29,00:00:00.00,7.7745,0,0,0,857.442,0,0,0,14.3526,217.032,5.49698,0.0930526,5.49698,0.0930526,224.807,6.57806,644.084,444.743,444.743,416.461,88.6061,326.083,168.616,197.521,171.558
577,2004-04-30,00:00:00.00,7.7745,0,0,0,857.442,0,0,0,14.3526,217.032,5.49698,0.0930526,5.49698,0.0930526,224.807,6.57806,644.084,444.743,444.743,416.598,88.6061,326.09,168.616,197.521,171.869
578,2004-05-01,00:00:00.00,7.7745,0,0,0,860.799,0,0,0,14.3526,217.032,5.5217,0.0930526,5.5217,0.0930526,224.807,6.57806,647.438,444.746,444.746,417.858,88.6088,327.248,168.616,197.521,172.166
579,2004-05-02,00:00:00.00,7.7745,0,0,0,869.036,0,0,0,14.3526,217.032,5.58922,0.0930526,5.58922,0.0930526,224.807,6.57806,654.548,445.873,445.873,420.787,88.9468,329.168,169.099,197.533,172.471
580,2004-05-03,00:00:00.00,7.7745,0,0,0,885.484,0,0,0,14.3526,217.032,5.73972,0.0930526,5.73972,0.0930526,224.807,6.57806,668.462,448.406,448.406,422.358,89.5968,330.744,170.528,197.737,172.825
581,2004-05-04,00:00:00.00,7.7745,0,0,0,885.484,0,0,0,14.3526,217.032,5.73972,0.0930526,5.73972,0.0930526,224.807,6.57806,668.462,448.406,448.406,424.093,89.9416,332.483,170.674,197.745,173.171
582,2004-05-05,00:00:00.00,7.7745,0,0,0,889.48,0,0,0,14.3526,217.032,5.77077,0.0930526,5.77077,0.0930526,224.807,6.57806,670.687,450.178,450.178,427.262,90.7361,335.655,171.225,197.769,173.525
583,2004-05-06,00:00:00.00,7.7745,0,0,0,892.41,0,0,0,14.3526,217.032,5.79838,0.0930526,5.79838,0.0930526,224.807,6.57806,672.264,451.531,451.531,429.24,91.5738,337.617,172.135,197.776,173.904
584,2004-05-07,00:00:00.00,7.7745,0,0,0,893.798,0,0,0,14.3526,217.032,5.81045,0.0930526,5.81045,0.0930526,224.807,6.57806,673.12,452.063,452.063,433.497,92.1024,340.957,172.152,197.779,174.267
585,2004-05-08,00:00:00.00,7.7745,0,0,0,893.798,0,0,0,14.3526,217.032,5.81045,0.0930526,5.81045,0.0930526,224.807,6.57806,673.12,452.063,452.063,433.992,92.1159,341.142,172.168,197.779,174.615
586,2004-05-09,00:00:00.00,7.7745,0,0,0,908.246,0,0,0,14.3526,217.032,5.93513,0.0930526,5.93513,0.0930526,224.807,6.57806,687.037,452.594,452.594,435.51,92.5021,342.663,172.185,197.822,174.948
587,2004-05-10,00:00:00.00,7.7745,0,0,0,919.94,0,0,0,14.3526,217.032,6.03753,0.0930526,6.03753,0.0930526,224.807,6.57806,692.87,458.454,458.454,438.982,93.2161,346.139,173.631,198.376,175.33
