time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
259,2003-06-17,00:00:00.00,0,0,0.23004,0,0.54275,0,309.77,0,0,0,2.28555,0,0,0,0,312.829,441.951,160.673,2.27374e-013
260,2003-06-18,00:00:00.00,0,0,0.228617,0,0.539951,0,309.77,0,0,0,2.18498,0,0,0,0,312.724,441.951,160.778,2.27374e-013
261,2003-06-19,00:00:00.00,7.56173,0,0.227479,0,0.539353,0,316.702,0,0.580094,0.0298829,2.10546,0,0,0,0,320.184,449.513,160.879,2.84217e-013
262,2003-06-20,00:00:00.00,2.12171,0,0.226447,0,0.538032,0,319.131,0,0.24639,0.0345863,2.02945,0,0,0,0,322.206,451.634,160.979,1.13687e-013
263,2003-06-21,00:00:00.00,0,0,0.225001,0,0.533821,0,319.391,0,0,0.00366522,1.95677,0,0,0,0,322.11,451.634,161.075,2.27374e-013
264,2003-06-22,00:00:00.00,0,0,0.223649,0,0.53122,0,319.394,0,0,0,1.87067,0,0,0,0,322.02,451.634,161.165,1.13687e-013
265,2003-06-23,00:00:00.00,0,0,0.222529,0,0.528925,0,319.394,0,0,0,1.78836,0,0,0,0,321.934,451.634,161.251,1.13687e-013
266,2003-06-24,00:00:00.00,0,0,0.221403,0,0.526734,0,319.394,0,0,0,1.70967,0,0,0,0,321.852,451.634,161.333,1.13687e-013
267,2003-06-25,00:00:00.00,0,0,0.220353,0,0.524639,0,319.394,0,0,0,1.63444,0,0,0,0,321.774,451.634,161.411,1.13687e-013
268,2003-06-26,00:00:00.00,0,0,0.219337,0,0.522636,0,319.394,0,0,0,1.56252,0,0,0,0,321.699,451.634,161.486,1.7053e-013
269,2003-06-27,00:00:00.00,6.22735,0,0.218477,0,0.521612,0,325.587,0,0,0.0163887,1.51039,0,0,0,0,327.854,457.862,161.558,1.13687e-013
270,2003-06-28,00:00:00.00,0,0,0.21757,0,0.519457,0,325.6,0,0.000506853,0,1.4467,0,0,0,0,327.784,457.862,161.628,2.27374e-013
271,2003-06-29,00:00:00.00,1.5858,0,0.216633,0,0.517645,0,327.186,0,0,0,1.38304,0,0,0,0,329.304,459.447,161.694,1.13687e-013
272,2003-06-30,00:00:00.00,2.10339,0,0.215832,0,0.516208,0,329.279,0,0,0,1.33229,0,0,0,0,331.344,461.551,161.758,2.27374e-013
273,2003-07-01,00:00:00.00,0.0642942,0,0.21503,0,0.514602,0,329.344,0,0,0,1.27366,0,0,0,0,331.347,461.615,161.819,0
274,2003-07-02,00:00:00.00,0,0,0.214251,0,0.513041,0,329.344,0,0,0,1.21762,0,0,0,0,331.289,461.615,161.877,1.13687e-013
275,2003-07-03,00:00:00.00,0,0,0.213508,0,0.511548,0,329.344,0,0,0,1.16404,0,0,0,0,331.233,461.615,161.933,1.13687e-013
276,2003-07-04,00:00:00.00,0,0,0.212797,0,0.510122,0,329.344,0,0,0,1.11282,0,0,0,0,331.179,461.615,161.986,1.13687e-013
277,2003-07-05,00:00:00.00,0.0172319,0,0.212118,0,0.508758,0,329.361,0,0,0,1.06386,0,0,0,0,331.146,461.632,162.037,1.13687e-013
278,2003-07-06,00:00:00.00,2.43283,0,0.211519,0,0.507883,0,331.775,0,0,0.00158453,1.03367,0,0,0,0,333.529,464.065,162.087,1.13687e-013
279,2003-07-07,00:00:00.00,5.34643,0,0.210927,0,0.506656,0,335.786,0,1.33706,0,0.988185,0,0,0,0,338.828,469.412,162.134,1.7053e-013
280,2003-07-08,00:00:00.00,8.33295,0,0.212319,0,0.522419,0,342.323,-1.10979e-017,3.00917,0.0764158,0.961329,0,0,0,0,347.105,477.745,162.191,2.84217e-013
281,2003-07-09,00:00:00.00,0.620229,0,0.211677,0,0.511377,0,345.924,1.92283e-018,0.0319446,0.046926,0.935654,0,0,0,0,347.662,478.365,162.254,5.68434e-014
282,2003-07-10,00:00:00.00,0.321471,0,0.209479,0,0.505692,0,346.285,-1.03213e-018,0,0.020697,0.911109,0,0,0,0,347.932,478.686,162.305,5.68434e-014
283,2003-07-11,00:00:00.00,3.18464,0,0.209325,0,0.505964,0,349.055,0,0.381443,0.0330167,0.887644,0,0,0,0,351.072,481.871,162.349,5.68434e-014
284,2003-07-12,00:00:00.00,8.7808,0,0.20994,0,0.513855,0,354.995,9.79544e-018,3.14171,0.0644968,0.87743,0,0,0,0,359.803,490.652,162.399,1.13687e-013
285,2003-07-13,00:00:00.00,1.08578,0,0.209446,0,0.506431,0,357.558,-3.55906e-018,1.6637,0.0344221,0.865259,0,0,0,0,360.837,491.738,162.451,2.27374e-013
286,2003-07-14,00:00:00.00,0.0772181,0,0.208052,0,0.502854,0,359.311,6.33677e-019,0,0.00467805,0.843811,0,0,0,0,360.87,491.815,162.495,2.27374e-013
287,2003-07-15,00:00:00.00,0,0,0.207684,0,0.501606,0,359.316,0,0,0,0.806682,0,0,0,0,360.831,491.815,162.534,3.41061e-013
288,2003-07-16,00:00:00.00,11.4739,0,0.21016,0,0.526195,0,368.199,0,2.44189,0.0861697,0.787812,0,0,0,0,372.251,503.289,162.588,3.41061e-013
289,2003-07-17,00:00:00.00,0.578647,0,0.209561,0,0.509566,0,371.062,5.21785e-018,0.16016,0.0543625,0.769772,0,0,0,0,372.765,503.867,162.653,2.84217e-013
290,2003-07-18,00:00:00.00,0.0627957,0,0.206567,0,0.501569,0,371.298,-2.36868e-034,0,0.0219423,0.752526,0,0,0,0,372.781,503.93,162.7,2.27374e-013
291,2003-07-19,00:00:00.00,0,0,0.206364,0,0.499478,0,371.311,0,0.000252632,0,0.727494,0,0,0,0,372.745,503.93,162.736,2.27374e-013
292,2003-07-20,00:00:00.00,0,0,0.205717,0,0.498521,0,371.312,0,0,0,0.695483,0,0,0,0,372.711,503.93,162.769,3.41061e-013
293,2003-07-21,00:00:00.00,3.25319,0,0.205526,0,0.498217,0,374.375,0,0.16365,0.00858374,0.681506,0,0,0,0,375.932,507.183,162.801,3.41061e-013
294,2003-07-22,00:00:00.00,5.89805,0,0.206,0,0.504615,0,379.881,2.47759e-017,0.478805,0.0555261,0.668144,0,0,0,0,381.794,513.081,162.838,3.41061e-013
295,2003-07-23,00:00:00.00,0.0642942,0,0.205575,0,0.49909,0,380.431,-7.59284e-019,0.00587664,0.023994,0.65537,0,0,0,0,381.821,513.146,162.876,3.41061e-013
296,2003-07-24,00:00:00.00,0,0,0.204576,0,0.496972,0,380.45,-1.74807e-035,0,0,0.636575,0,0,0,0,381.788,513.146,162.908,3.97904e-013
297,2003-07-25,00:00:00.00,0.00861593,0,0.204393,0,0.496114,0,380.459,0,0,0,0.608564,0,0,0,0,381.768,513.154,162.937,4.54747e-013
298,2003-07-26,00:00:00.00,0,0,0.204008,0,0.495366,0,380.459,0,0,0,0.581786,0,0,0,0,381.74,513.154,162.965,4.54747e-013
299,2003-07-27,00:00:00.00,1.3247,0,0.203751,0,0.494652,0,381.753,0,0.0305279,0,0.556186,0,0,0,0,383.038,514.479,162.992,3.41061e-013
300,2003-07-28,00:00:00.00,0.125591,0,0.203453,0,0.493969,0,381.893,-1.90761e-018,0.0154827,0,0.531713,0,0,0,0,383.138,514.605,163.017,2.27374e-013
301,2003-07-29,00:00:00.00,0,0,0.203193,0,0.493315,0,381.909,2.04431e-035,9.03329e-006,0,0.508317,0,0,0,0,383.114,514.605,163.041,2.84217e-013
302,2003-07-30,00:00:00.00,0,0,0.202932,0,0.492691,0,381.909,1.78671e-051,0,0,0.48595,0,0,0,0,383.09,514.605,163.065,2.27374e-013
303,2003-07-31,00:00:00.00,0,0,0.202688,0,0.492094,0,381.909,0,0,0,0.464567,0,0,0,0,383.068,514.605,163.087,2.27374e-013
304,2003-08-01,00:00:00.00,2.75659,0,0.202453,0,0.491523,0,384.587,0,0.078042,0,0.444125,0,0,0,0,385.804,517.361,163.108,3.97904e-013
305,2003-08-02,00:00:00.00,2.4724,0,0.202229,0,0.490978,0,387.138,-2.88897e-017,1.84985e-005,0,0.424583,0,0,0,0,388.256,519.833,163.128,3.41061e-013
306,2003-08-03,00:00:00.00,2.93261,0,0.202093,0,0.491126,0,389.889,9.82395e-018,0.151795,0.0119756,0.422526,0,0,0,0,391.168,522.766,163.148,3.41061e-013
307,2003-08-04,00:00:00.00,18.1345,0,0.207024,0,0.507968,0,394.452,-6.85818e-016,13.3027,0.0613587,0.743196,0,0,0,0,409.274,540.901,163.177,3.41061e-013
308,2003-08-05,00:00:00.00,0.00861593,0,0.210899,0,0.501775,0,399.506,7.21616e-034,8.27053,0.0279206,0.72712,0,0,0,0,409.245,540.909,163.215,2.84217e-013
309,2003-08-06,00:00:00.00,4.79968,0,0.27964,0,0.654944,0,404.158,2.27443e-017,6.41376,1.23546,1.20534,0,0,0,0,413.948,545.709,163.312,3.97904e-013
310,2003-08-07,00:00:00.00,2.47727,0,0.306905,0,0.573987,0,408.526,-2.03796e-017,4.46799,0.687166,1.66251,0,0,0,0,416.225,548.186,163.512,3.41061e-013
311,2003-08-08,00:00:00.00,2.31309,0,0.248195,0,0.539854,0,414.01,4.76639e-018,1.55177,0.117133,1.88072,0,0,0,0,418.348,550.499,163.702,2.84217e-013
312,2003-08-09,00:00:00.00,0,0,0.23684,0,0.531219,0,415.618,-4.48468e-034,0.00568109,0.00538998,1.84563,0,0,0,0,418.243,550.499,163.807,3.41061e-013
313,2003-08-10,00:00:00.00,0.189886,0,0.23741,0,0.52854,0,415.818,-4.78172e-019,0.000673166,0,1.76442,0,0,0,0,418.349,550.689,163.89,1.13687e-013
314,2003-08-11,00:00:00.00,0,0,0.233893,0,0.526361,0,415.819,-5.93949e-036,3.05655e-006,0,1.68678,0,0,0,0,418.266,550.689,163.974,2.27374e-013
315,2003-08-12,00:00:00.00,10.8335,0,0.23436,0,0.534139,0,423.49,-6.13338e-018,3.06571,0.0627789,1.62918,0,0,0,0,429.016,561.523,164.057,1.13687e-013
316,2003-08-13,00:00:00.00,3.27938,0,0.236053,0,0.534636,0,428.161,-3.48751e-017,1.36905,0.0395827,1.86591,0,0,0,0,432.206,564.802,164.147,5.68434e-014
317,2003-08-14,00:00:00.00,0.0642942,0,0.237575,0,0.530009,0,429.251,-7.44748e-020,0.355173,0.0096224,1.80043,0,0,0,0,432.184,564.866,164.233,1.13687e-013
318,2003-08-15,00:00:00.00,0,0,0.235723,0,0.527385,0,429.616,0,0,0,1.72121,0,0,0,0,432.1,564.866,164.317,1.13687e-013
319,2003-08-16,00:00:00.00,0.188387,0,0.233785,0,0.525246,0,429.804,0,0,0,1.64547,0,0,0,0,432.209,565.055,164.396,1.13687e-013
320,2003-08-17,00:00:00.00,1.93107,0,0.232388,0,0.523475,0,431.708,0,0.0170758,0,1.58317,0,0,0,0,434.064,566.986,164.473,1.13687e-013
321,2003-08-18,00:00:00.00,0,0,0.230775,0,0.521549,0,431.725,0,0.00022406,0,1.51351,0,0,0,0,433.991,566.986,164.546,1.7053e-013
322,2003-08-19,00:00:00.00,0,0,0.229337,0,0.519682,0,431.725,0,0,0,1.44691,0,0,0,0,433.921,566.986,164.616,2.27374e-013
323,2003-08-20,00:00:00.00,0,0,0.22792,0,0.517897,0,431.725,0,0,0,1.38324,0,0,0,0,433.854,566.986,164.682,2.27374e-013
324,2003-08-21,00:00:00.00,0.0642942,0,0.226576,0,0.516191,0,431.789,0,0,0,1.32238,0,0,0,0,433.854,567.05,164.746,1.7053e-013
325,2003-08-22,00:00:00.00,2.22852,0,0.225292,0,0.51456,0,434.018,0,0,0,1.26419,0,0,0,0,436.022,569.279,164.808,5.68434e-014
326,2003-08-23,00:00:00.00,0,0,0.22406,0,0.513001,0,434.018,0,0,0,1.20856,0,0,0,0,435.963,569.279,164.866,0
327,2003-08-24,00:00:00.00,0,0,0.222887,0,0.51151,0,434.018,0,0,0,1.15538,0,0,0,0,435.908,569.279,164.922,0
328,2003-08-25,00:00:00.00,0.125591,0,0.221762,0,0.510085,0,434.142,0,0.00155218,0,1.10454,0,0,0,0,435.98,569.404,164.975,1.13687e-013
329,2003-08-26,00:00:00.00,2.13506,0,0.220689,0,0.508723,0,436.251,4.43271e-017,0.0276159,0,1.05594,0,0,0,0,438.064,571.539,165.026,0
330,2003-08-27,00:00:00.00,3.47254,0,0.219893,0,0.509383,0,439.604,-1.45273e-033,0.0974133,0.0288905,1.0261,0,0,0,0,441.486,575.012,165.076,-1.13687e-013
331,2003-08-28,00:00:00.00,0,0,0.218921,0,0.507153,0,439.712,0,0.00286401,0,0.995682,0,0,0,0,441.437,575.012,165.125,1.13687e-013
332,2003-08-29,00:00:00.00,0.313979,0,0.217847,0,0.505811,0,440.027,7.02601e-018,0.00196737,0,0.95187,0,0,0,0,441.705,575.326,165.172,-1.13687e-013
333,2003-08-30,00:00:00.00,0.568159,0,0.216989,0,0.504637,0,440.593,1.11916e-018,0.004298,0,0.909985,0,0,0,0,442.229,575.894,165.216,-5.68434e-014
334,2003-08-31,00:00:00.00,0,0,0.216104,0,0.503514,0,440.597,-3.69039e-034,0.000273725,0,0.869944,0,0,0,0,442.187,575.894,165.258,-5.68434e-014
335,2003-09-01,00:00:00.00,0,0,0.215289,0,0.502441,0,440.597,-1.5149e-052,9.12484e-006,0,0.831665,0,0,0,0,442.147,575.894,165.298,0
336,2003-09-02,00:00:00.00,0.541325,0,0.214495,0,0.501415,0,441.04,-6.48875e-018,0.0991205,0,0.79507,0,0,0,0,442.65,576.435,165.336,1.13687e-013
337,2003-09-03,00:00:00.00,0.0642942,0,0.213743,0,0.500434,0,441.196,-2.30906e-019,0.00683744,0,0.760085,0,0,0,0,442.677,576.5,165.373,-1.7053e-013
338,2003-09-04,00:00:00.00,0,0,0.213021,0,0.499496,0,441.203,2.31787e-035,0.00016145,0,0.72664,0,0,0,0,442.642,576.5,165.408,-1.13687e-013
339,2003-09-05,00:00:00.00,0,0,0.212332,0,0.4986,0,441.203,-3.21977e-052,2.19776e-005,0,0.694667,0,0,0,0,442.609,576.5,165.442,0
340,2003-09-06,00:00:00.00,0,0,0.211673,0,0.497743,0,441.203,-1.00972e-069,1.2429e-006,0,0.6641,0,0,0,0,442.577,576.5,165.474,-1.13687e-013
341,2003-09-07,00:00:00.00,0,0,0.211043,0,0.496924,0,441.203,-3.08596e-086,9.38017e-009,0,0.634878,0,0,0,0,442.546,576.5,165.504,-1.13687e-013
342,2003-09-08,00:00:00.00,0,0,0.210441,0,0.49614,0,441.203,0,2.61049e-010,0,0.606942,0,0,0,0,442.517,576.5,165.534,-2.27374e-013
343,2003-09-09,00:00:00.00,0,0,0.209865,0,0.495392,0,441.203,0,1.75327e-011,0,0.580236,0,0,0,0,442.489,576.5,165.562,-1.13687e-013
344,2003-09-10,00:00:00.00,0,0,0.209314,0,0.494676,0,441.203,0,8.6721e-013,0,0.554704,0,0,0,0,442.462,576.5,165.588,-1.13687e-013
345,2003-09-11,00:00:00.00,0,0,0.208788,0,0.493992,0,441.203,0,1.23387e-014,0,0.530296,0,0,0,0,442.436,576.5,165.614,-1.7053e-013
346,2003-09-12,00:00:00.00,0,0,0.208285,0,0.493337,0,441.203,0,4.5992e-017,0,0.506962,0,0,0,0,442.412,576.5,165.639,-2.27374e-013
347,2003-09-13,00:00:00.00,0,0,0.207804,0,0.492712,0,441.203,0,1.45896e-018,0,0.484654,0,0,0,0,442.388,576.5,165.662,-2.27374e-013
348,2003-09-14,00:00:00.00,0,0,0.207344,0,0.492114,0,441.203,0,3.51807e-020,0,0.463329,0,0,0,0,442.366,576.5,165.684,-1.7053e-013
349,2003-09-15,00:00:00.00,3.86274,0,0.206905,0,0.491542,0,443.748,7.78721e-017,1.31759,0,0.442941,0,0,0,0,446.207,580.362,165.706,-5.68434e-014
350,2003-09-16,00:00:00.00,9.44159,0,0.213484,0,0.513415,0,448.739,-1.37136e-016,5.16226,0.0938598,0.895622,0,0,0,0,455.617,589.804,165.737,-2.27374e-013
351,2003-09-17,00:00:00.00,0.0642942,0,0.219,0,0.506557,0,453.094,3.51596e-019,0.912574,0.031823,0.872839,0,0,0,0,455.637,589.868,165.782,-1.7053e-013
352,2003-09-18,00:00:00.00,0,0,0.216978,0,0.503209,0,453.999,1.78752e-035,0.0209086,0.000962389,0.851058,0,0,0,0,455.592,589.868,165.827,-3.41061e-013
353,2003-09-19,00:00:00.00,1.87534,0,0.215975,0,0.50201,0,455.657,4.16134e-017,0.239452,0,0.813609,0,0,0,0,457.428,591.744,165.866,-1.13687e-013
354,2003-09-20,00:00:00.00,23.0183,0,0.232539,0,0.630437,0,459.303,-1.31478e-016,18.853,0.127382,1.17602,0,0,0,0,480.322,614.762,165.991,0
355,2003-09-21,00:00:00.00,0,0,0.229685,0,0.526347,0,464.413,0,13.7898,0.0398884,1.1575,0,0,0,0,480.156,614.762,166.156,-1.13687e-013
356,2003-09-22,00:00:00.00,0.0642942,0,0.216442,0,0.510938,0,470.311,0,7.96804,0.00997773,1.1232,0,0,0,0,480.14,614.826,166.237,-1.7053e-013
357,2003-09-23,00:00:00.00,21.1112,0,0.406288,0,1.41854,0,474.744,4.28022e-016,16.9924,4.6275,2.45615,0,0,0,0,500.645,635.937,166.843,-5.68434e-014
358,2003-09-24,00:00:00.00,0.188387,0,0.423504,0,0.850812,0,478.143,0,14.3358,2.3395,3.66902,0,0,0,0,499.762,636.126,167.914,-3.41061e-013
359,2003-09-25,00:00:00.00,6.98257,0,0.369596,0,0.952219,0,483.34,0,12.856,3.57224,4.88995,0,0,0,0,505.98,643.108,168.679,-2.27374e-013
360,2003-09-26,00:00:00.00,0.450059,0,0.398348,0,0.723548,0,487.601,0,9.60447,1.4751,6.05716,0,0,0,0,505.86,643.558,169.249,-4.54747e-013
361,2003-09-27,00:00:00.00,6.56585,0,0.388469,0,0.868367,0,492.838,-1.8978e-017,8.61733,2.00241,7.17293,0,0,0,0,511.888,650.124,169.787,-4.54747e-013
362,2003-09-28,00:00:00.00,10.2183,0,0.462452,0,1.01849,0,496.717,2.55316e-016,11.8483,3.12665,8.23968,0,0,0,0,521.413,660.342,170.48,-3.97904e-013
363,2003-09-29,00:00:00.00,0.591897,0,0.386645,0,0.810013,0,500.347,0,9.3054,1.22539,9.12928,0,0,0,0,521.204,660.934,171.281,-3.41061e-013
364,2003-09-30,00:00:00.00,0.291778,0,0.325315,0,0.743782,0,503.518,3.60352e-018,6.95908,0.0550519,9.33438,0,0,0,0,520.935,661.226,171.841,-3.41061e-013
365,2003-10-01,00:00:00.00,2.0332,0,0.332036,0,0.73279,0,506.652,3.98631e-017,5.69059,0.00377488,9.13237,0,0,0,0,522.544,663.259,172.266,-5.68434e-013
366,2003-10-02,00:00:00.00,4.23174,0,0.328832,0,0.734992,0,509.772,1.2247e-017,6.25554,0.0448509,9.21304,0,0,0,0,526.349,667.491,172.692,-3.41061e-013
367,2003-10-03,00:00:00.00,1.248,0,0.33158,0,0.726601,0,512.586,1.91805e-018,4.63769,0,8.90054,0,0,0,0,527.182,668.739,173.108,-3.41061e-013
368,2003-10-04,00:00:00.00,11.8472,0,0.362852,0,0.819788,0,516.087,4.22463e-017,10.2024,1.2223,9.88,0,0,0,0,538.574,680.586,173.563,-4.54747e-013
369,2003-10-05,00:00:00.00,6.53533,0,0.441953,0,0.934009,0,518.65,0,11.7991,1.87986,10.8276,0,0,0,0,544.533,687.122,174.139,-3.41061e-013
370,2003-10-06,00:00:00.00,1.59353,0,0.449917,0,0.855758,0,521.338,0,10.664,0.885628,11.2523,0,0,0,0,545.446,688.715,174.82,-1.13687e-013
371,2003-10-07,00:00:00.00,0,0,0.387594,0,0.797886,0,524.816,0,7.48168,0.0714744,11.2487,0,0,0,0,544.804,688.715,175.462,-3.41061e-013
372,2003-10-08,00:00:00.00,0.0642942,0,0.363567,0,0.779282,0,529.176,-5.79723e-019,3.2334,0,10.7773,0,0,0,0,544.329,688.779,176.001,-3.41061e-013
373,2003-10-09,00:00:00.00,0,0,0.359253,0,0.765959,0,531.969,-9.23664e-036,0.440128,0,10.3031,0,0,0,0,543.838,688.779,176.493,-2.27374e-013
374,2003-10-10,00:00:00.00,0,0,0.350944,0,0.753338,0,532.364,0,0.0456465,0,9.84975,0,0,0,0,543.363,688.779,176.967,-2.27374e-013
375,2003-10-11,00:00:00.00,0,0,0.344519,0,0.741272,0,532.402,0,0.00752627,0,9.41635,0,0,0,0,542.911,688.779,177.419,-2.84217e-013
376,2003-10-12,00:00:00.00,0,0,0.338031,0,0.729737,0,532.408,0,0.00125789,0,9.00201,0,0,0,0,542.479,688.779,177.851,-1.7053e-013
377,2003-10-13,00:00:00.00,0.42847,0,0.331763,0,0.718709,0,532.647,2.65612e-018,0.190797,0,8.6059,0,0,0,0,542.494,689.208,178.264,-2.27374e-013
378,2003-10-14,00:00:00.00,0,0,0.325931,0,0.708167,0,532.787,1.09723e-033,0.0507235,0,8.22722,0,0,0,0,542.099,689.208,178.66,-3.41061e-013
379,2003-10-15,00:00:00.00,34.7881,0,0.349753,0,0.915569,0,536.272,-1.18561e-016,30.5081,0.0154464,8.30373,0,0,0,0,576.364,723.996,179.182,-4.54747e-013
380,2003-10-16,00:00:00.00,3.6001,0,0.366234,0,0.838907,0,538.396,0,29.0397,1.61055,9.07289,0,0,0,0,579.324,727.596,179.823,-2.27374e-013
381,2003-10-17,00:00:00.00,0,0,0.348616,0,0.758612,0,540.769,0,26.8536,0.480221,9.56245,0,0,0,0,578.773,727.596,180.374,-3.41061e-013
382,2003-10-18,00:00:00.00,0,0,0.335935,0,0.740516,0,543.115,0,24.7274,0,9.39058,0,0,0,0,578.31,727.596,180.837,-4.54747e-013
383,2003-10-19,00:00:00.00,1.87764,0,0.340328,0,0.753573,0,545.299,0,23.3782,0.351276,9.62444,0,0,0,0,579.747,729.474,181.277,-3.41061e-013
384,2003-10-20,00:00:00.00,0,0,0.344842,0,0.741074,0,547.673,0,21.1538,0,9.39386,0,0,0,0,579.307,729.474,181.718,-6.82121e-013
385,2003-10-21,00:00:00.00,0,0,0.335962,0,0.72926,0,551.726,0,17.1008,0,8.98051,0,0,0,0,578.873,729.474,182.152,-5.68434e-013
386,2003-10-22,00:00:00.00,0.265605,0,0.329749,0,0.718253,0,554.429,0,14.6636,0,8.58535,0,0,0,0,578.726,729.739,182.564,-3.41061e-013
387,2003-10-23,00:00:00.00,0.257177,0,0.324162,0,0.707731,0,555.797,0,13.5528,0,8.20758,0,0,0,0,578.589,729.996,182.958,-6.82121e-013
388,2003-10-24,00:00:00.00,0.0185143,0.00733349,0.318461,0,0.697672,0,557.53,0,11.8458,0,7.84643,0,0,0,0,578.238,730.022,183.335,-3.41061e-013
389,2003-10-25,00:00:00.00,0.125591,0,0.313162,0,0.688055,0,559.854,0,9.64759,0,7.50117,0,0,0,0,578.004,730.148,183.695,-5.68434e-013
390,2003-10-26,00:00:00.00,7.87782,0,0.396306,0,0.872619,0,561.838,3.00539e-017,12.474,1.52542,8.36191,0,0,0,0,585.469,738.026,184.108,-3.41061e-013
391,2003-10-27,00:00:00.00,8.16264,0,0.479004,0,0.972749,0,563.799,0,15.3893,2.9662,9.37634,0,0,0,0,592.983,746.188,184.756,-6.82121e-013
392,2003-10-28,00:00:00.00,0.617882,0,0.414636,0,0.824671,0,565.616,0,14.4933,1.14218,10.3461,0,0,0,0,592.837,746.806,185.519,-6.82121e-013
393,2003-10-29,00:00:00.00,3.03774,0,0.380149,0,0.838156,0,567.76,0,14.2831,0.75566,11.2343,0,0,0,0,595.252,749.844,186.143,-5.68434e-013
394,2003-10-30,00:00:00.00,1.47277,0,0.389519,0,0.808295,0,569.188,0,14.205,0.152947,11.4172,0,0,0,0,596.161,751.317,186.706,-4.54747e-013
395,2003-10-31,00:00:00.00,0,0,0.366116,0,0.786087,0,571.927,0,11.5061,0.0323182,10.991,0,0,0,0,595.609,751.317,187.259,-5.68434e-013
396,2003-11-01,00:00:00.00,0.125591,0,0.35854,0,0.771724,0,575.66,0,7.92856,0,10.5103,0,0,0,0,595.229,751.442,187.764,-5.68434e-013
397,2003-11-02,00:00:00.00,3.13715,0,0.371484,0,0.800716,0,576.765,-1.30942e-016,8.73943,0.651175,10.5414,0,0,0,0,597.869,754.579,188.261,-6.82121e-013
398,2003-11-03,00:00:00.00,6.50692,0,0.712131,0,1.49602,0,577.316,0,11.1736,2.33992,10.5711,0,0,0,0,603.609,761.086,189.028,-6.82121e-013
399,2003-11-04,00:00:00.00,11.6142,0,1.49217,0,2.46785,0,578.368,-2.67049e-017,16.2724,3.45078,11.4883,0,0,0,0,613.539,772.701,190.712,-2.27374e-013
400,2003-11-05,00:00:00.00,0.887145,0,1.36277,0,1.28802,0,579.513,0,16.075,2.00823,11.7376,0,0,0,0,611.984,773.588,193.154,-4.54747e-013
401,2003-11-06,00:00:00.00,0.207118,0,0.581305,0,0.937868,0,581.956,0,13.8939,1.23661,11.7313,0,0,0,0,610.337,773.795,195.009,-7.95808e-013
402,2003-11-07,00:00:00.00,0,0,0.420438,0,0.829789,0,583.413,0,12.6098,0.518482,11.7087,0,0,0,0,609.5,773.795,195.845,-4.54747e-013
403,2003-11-08,00:00:00.00,0.0627957,0,0.416114,0,0.802111,0,584.899,0,11.3177,0,11.5638,0,0,0,0,608.999,773.858,196.409,-4.54747e-013
404,2003-11-09,00:00:00.00,0,0,0.381199,0,0.787368,0,585.995,0,10.2221,0,11.055,0,0,0,0,608.44,773.858,196.968,-6.82121e-013
405,2003-11-10,00:00:00.00,0,0,0.383891,0,0.773804,0,587.439,0,8.77808,0,10.5685,0,0,0,0,607.943,773.858,197.465,-4.54747e-013
406,2003-11-11,00:00:00.00,2.30854,0,0.394927,0,0.808462,0,588.983,0,8.22499,0.737003,10.5971,0,0,0,0,609.746,776.166,197.971,-5.68434e-013
407,2003-11-12,00:00:00.00,4.48912,0,0.404612,0,0.791672,0,590.94,-5.85319e-017,10.4562,0.297395,10.823,0,0,0,0,613.713,780.655,198.493,-5.68434e-013
408,2003-11-13,00:00:00.00,6.43324,0,0.449644,0,0.9199,0,593.111,2.26554e-017,12.2869,1.29335,11.507,0,0,0,0,619.567,787.089,199.072,-6.82121e-013
409,2003-11-14,00:00:00.00,1.48748,2.94633,0.463001,0,0.835605,0,594.245,-3.8744e-018,12.7674,0.541244,11.5751,0,2.92554,0,0,623.353,791.522,199.72,-5.68434e-013
410,2003-11-15,00:00:00.00,0.296441,0.409297,0.407207,0,0.79864,0,594.467,-1.08078e-018,13.0428,0.0804835,11.3134,0,3.33116,0,0,623.441,792.228,200.338,-6.82121e-013
411,2003-11-16,00:00:00.00,1.48446,0,0.47691,0,0.962832,0,595.776,0,13.7674,1.46887,11.3258,0.0263222,0.526444,0,0,624.331,793.713,200.932,-7.95808e-013
412,2003-11-17,00:00:00.00,3.36755,0,0.581837,0,1.0128,0,596.705,2.52821e-017,15.2239,1.60789,11.8047,0.00126421,0.0252841,0,0,626.963,797.08,201.668,-5.68434e-013
413,2003-11-18,00:00:00.00,0.595879,0,0.526682,0,0.872537,0,597.643,-8.59153e-019,15.0337,0.862099,11.7955,0,0,0,0,626.734,797.676,202.493,-6.82121e-013
414,2003-11-19,00:00:00.00,10.8016,0,0.943896,0,1.93075,0,599.676,2.31588e-017,17.5582,3.66497,12.6588,0,0,0,0,636.432,808.478,203.596,-7.95808e-013
415,2003-11-20,00:00:00.00,8.68663,0,1.31421,0,1.90357,0,601.394,0,19.7424,5.27706,13.4842,0,0,0,0,643.116,817.164,205.599,-7.95808e-013
