#  parameters for each algorithm
# algorithm name | algorithm type | parameter name | parameter class

BASE_TOPMODEL Baseflow BASEFLOW_N SOIL
BASE_TOPMODEL Baseflow TOPMODEL_LAMBDA TERRAIN
BASE_THRESH_POWER Baseflow BASEFLOW_THRESH SOIL
INTERFLOW_PRMS Interflow FIELD_CAPACITY SOIL
INTERFLOW_PRMS Interflow SAT_WILT SOIL
INTERFLOW_PRMS Interflow MAX_INTERFLOW_RATE SOIL
SNSQUEEZE_RAVEN SnowSqueeze	SNOW_SWI GLOBAL
FREEZE_DEGREE_DAY SnowRefreeze SNOW_SWI GLOBAL
FREEZE_DEGREE_DAY SnowRefreeze REFREEZE_FACTOR LULT
SNOBAL_COLD_CONTENT SnowBalance SNOW_SWI GLOBAL
SNOBAL_HBV SnowBalance SNOW_SWI GLOBAL
SNOBAL_HBV SnowBalance REFREEZE_FACTOR LULT
SNOBAL_HBV SnowBalance MELT_FACTOR LULT
SNOBAL_HBV SnowBalance DD_MELT_TEMP GLOBAL
SNOBAL_UBC SnowBalance SNOW_SWI GLOBAL
SNOBAL_UBC SnowBalance CC_DECAY_COEFF LULT
SNOBAL_UBC SnowBalance SNOW_PATCH_LIMIT LULT
SNOBAL_TWO_LAYER SnowBalance SNOW_SWI GLOBAL
SNOBAL_TWO_LAYER SnowBalance MAX_SWE_SURFACE GLOBAL
SUBLIM_SVERDRUP Sublimation SNOW_ROUGHNESS GLOBAL
SUBLIM_SVERDRUP Sublimation SNOW_TEMPERATURE GLOBAL
SUBLIM_CENTRAL_SIERRA Sublimation SNOW_TEMPERATURE GLOBAL
SUBLIM_WILLIAMS Sublimation SNOW_TEMPERATURE GLOBAL
CANDRIP_RUTTER CanopyDrip FOREST_COVERAGE LULT
CANDRIP_RUTTER CanopyDrip STEMFLOW_FRAC VEG
CANDRIP_RUTTER CanopyDrip MAX_CAPACITY VEG
CANDRIP_SLOWDRAIN CanopyDrip FOREST_COVERAGE LULT
CANDRIP_SLOWDRAIN CanopyDrip MAX_CAPACITY VEG
CANDRIP_SLOWDRAIN CanopyDrip DRIP_PROPORTION VEG
CANDRIP_SLOWDRAIN CanopyDrip CANOPY	PONDED_WATER
GMELT_HBV GlacierMelt HBV_MELT_GLACIER_CORR LULT
GRELEASE_LINEAR GlacierRelease GLAC_STORAGE_COEFF LULT
GRELEASE_LINEAR GlacierRelease GLACIER SURFACE_WATER
GRELEASE_LINEAR_ANALYTIC GlacierRelease	GLAC_STORAGE_COEFF LULT
GRELEASE_HBV_EC GlacierRelease HBV_GLACIGRELEASE_HBV_EC ER_KMIN LULT
GRELEASE_HBV_EC GlacierRelease GLAC_STORAGE_COEFF LULT
GRELEASE_HBV_EC GlacierRelease HBV_GLACIER_AG LULT
RAVEN_DEFAULT Exchangeflow EXCHANGE_FLOW SOIL
ABST_PERCENTAGE Abstraction ABST_PERCENT LULT
ABST_FILL Abstraction DEP_MAX LULT
ABST_SCS Abstraction SCS_CN LULT
ABST_SCS Abstraction SCS_IA_FRACTION LULT
ABST_PDMROF Abstraction PDMROF_B LULT
ABST_PDMROF Abstraction DEP_MAX LULT
DFLOW_THRESHPOW DepressionOverflow DEP_THRESHHOLD LULT
DFLOW_THRESHPOW DepressionOverflow DEP_N         LULT
DFLOW_THRESHPOW DepressionOverflow DEP_MAX_FLOW  LULT
DFLOW_THRESHPOW DepressionOverflow DEP_MAX LULT
DFLOW_LINEAR DepressionOverflow DEP_THRESHHOLD LULT
DFLOW_LINEAR DepressionOverflow DEP_K          LULT
DFLOW_WEIR DepressionOverflow DEP_THRESHHOLD LULT
DFLOW_WEIR DepressionOverflow DEP_CRESTRATIO LULT
SEEPAGE_LINEAR Seepage DEP_SEEP_K LULT

# JRC: missing GR4J, HMETS, MOHYSE, CONVOLUTION...

ROUTE_DIFFUSIVE_WAVE RoutingMethod MANNINGS_N SUBBASIN
ROUTE_DIFFUSIVE_WAVE RoutingMethod CHANNEL_GEOM SUBBASIN
