#RavenParameters.dat
#parameter name, class type, units, autogeneratable, reasonable default, minimum, maximum
#xxx provided as a missing value placeholder

UBC_LW_FOREST_FACT GLOBAL [mm/d/C] False -9999 0.0 9999
UBC_FLASH_PONDING GLOBAL [mm] False -9999 0.0 9999
AIRSNOW_COEFF GLOBAL [1/d] False -9999 0.0 9999
MOHYSE_PET_COEFF GLOBAL [mm/d] True -9999 0.0 9999
TOC_MULTIPLIER GLOBAL [mm] True 1.0 0.2 5.0

TOPMODEL_LAMBDA TERRAIN [m] False 5 1 10

TIME_CONC SUBBASIN [d] False 1 0 200
TIME_TO_PEAK SUBBASIN [d] False 1 0 100
TIME_LAG SUBBASIN [d] True 0.0 0.0 5.0
NUM_RESERVOIRS SUBBASIN [-] False 0 0 10
RES_CONSTANT SUBBASIN [1/d] False 1 0 10000
Q_REFERENCE SUBBASIN [m3/s] True 10 0.0001 10000000
MANNINGS_N SUBBASIN [-] False -9999 -9999 9999
SLOPE  SUBBASIN [-] False 0.01 0.0 10
RAIN_CORR SUBBASIN [1] True 1.0 0.5 2.0
SNOW_CORR SUBBASIN [1] True 1.0 0.5 2.0
GAMMA_SHAPE SUBBASIN [-] False 1.0 0.1 10
GAMMA_SCALE SUBBASIN [1/d] False 3.0 0.1 20

#Newly Added
#soil_struct
#Missing in Properties.h file
COMPRESSIBILITY SOIL [-] False  -9999 -9999 9999
FREEZING_POINT SOIL [C] False  -9999 -9999 9999
CLAPP_B SOIL [-] True  -9999 -9999 9999
CLAPP_N SOIL [-] True  -9999 -9999 9999
CLAPP_M SOIL [-] True  -9999 -9999 9999

#Missing parameter range
VIC_B_EXP SOIL [-] False  -9999 -9999 -9999
PERC_ASPEN SOIL [mm/d] False -9999 -9999 -9999

ORG_CON SOIL [0..1] False 0 0 1
SAND_CON SOIL [0..1] False 1 0 1
CLAY_CON SOIL [0..1] False 0 0 1
STONE_FRAC SOIL [0..1] True 0 0 1
BULK_DENSITY SOIL [kg/m3] True 1.0 0.0001 10000
CAP_RATIO SOIL [-] False 0, 0, 1
HEAT_CAPACITY SOIL [MJ/m3/K] True 1.0 0.0001 10000
THERMAL_COND SOIL [W/m/K] True 1.0 0.0001 10000
SAT_RES SOIL [0..1] True 0, 0, 1
AIR_ENTRY_PRESSURE SOIL [-mm] True 0.01 0.001 1
WILTING_PRESSURE SOIL [-mm] True 40 0.001 100
EVAP_RES_FC SOIL [d/mm] True 1 0 1
SHUTTLEWORTH_B SOIL [-] True 1 0 1
ALBEDO_WET SOIL [-] True 0.2 0 1
ALBEDO_DRY SOIL [-] True 0.5 0 1
BASEFLOW_COEFF2 SOIL [1/d] False 0.1 0.0 9999
STORAGE_THRESHOLD SOIL [mm] False 1 0.0 9999
INTERFLOW_COEFF SOIL [1/d] False 1 0.0 9999
UBC_EVAP_SOIL_DEF SOIL [mm] False 1 0.0 9999
GR4J_x2 SOIL [mm/d] False 0 0.0 9999
GR4J_x3 SOIL [mm] False 90 0.0 9999
RETARDATION SOIL [-] True 1 1 50
MINERALIZ_RATE SOIL [1/d] True 0 0 9999
LOSS_RATE SOIL [1/d] True 0 0 9999
TRANSF_COEFF SOIL [1/d] True 0 0 9999
STOICHIO_COEFF SOIL [1/d] True 0 0 9999


#veg_struct (seems to be maximum and minimum)
MAX_HEIGHT VEG [m] False 25 0 1000
MAX_HT VEG [m] False 25 0 1000
MAX_LEAF_COND VEG [mm/s] False 5.3 0 1000
MAX_LAI VEG [m2/m2] False 6 0 1000
SVF_EXTINCTION VEG [-] True 0.5 0 1
RAIN_ICEPT_FACT VEG [-] True 0.06 0 1
SNOW_ICEPT_FACT VEG [-] True 0.04 0 1
RAIN_ICEPT_PCT VEG [0..1] True 0.12 0 1
SNOW_ICEPT_PCT VEG [0..1] True 0.1 0 1
SAI_HT_RATIO VEG [m2/m3] True 0 0 1
RELATIVE_HT VEG [m/m] True 1 0 100
RELATIVE_LAI VEG [m/m] True 1 0 100
VEG_DENS VEG [1/m2] False 300 1 500
VEG_DIAM VEG [m] False 0.0003 0 2
VEG_MBETA VEG [-] False 32 20 200
PET_VEG_CORR VEG [0..1] True 1 0 1
ROOT_EXTINCT VEG [-] False 0 0 1
MAX_ROOT_LENGTH VEG [0..1] False 200 0 9999
MIN_RESISTIVITY VEG [d/mm] False 1 0 1
XYLEM_FRAC VEG [0..1] False 0.01 0 1
ROOTRADIUS VEG [mm] False 4 0 9999
PSI_CRITICAL VEG [-mm] False 0 0 1
DRIP_PROPORTION VEG [1/d] False 0.2 0 1
MAX_INTERCEPT_RATE VEG [mm/d] False 10 0 9999
CHU_MATURITY VEG [-] False 2800 0 9999
UPTAKE_MODERATOR VEG [-] True 1 0 1

#veg_var_struct
LAI VEG [m2/m2] False 4.0 0.0 7
SAI VEG [m2/m2] False 0.0 0.0 2
HEIGHT VEG [m] False 1.0 0.0 100.0
CAPACITY VEG [mm] xxx -9999 -9999 9999
SNOW_CAPACITY VEG [mm SWE] xxx -9999 -9999 9999
LEAF_COND VEG [mm/s] xxx -9999 -9999 9999
CANOPY_CONDUCTANCE VEG [mm/s] xxx -9999 -9999 9999
SHELTER_FACTOR VEG [-] xxx -9999 -9999 9999
SKYVIEW_FACT VEG [0..1] xxx -9999 -9999 9999
ROUGHNESS VEG [m] xxx -9999 -9999 9999
ZERO_PLN_DISP VEG [m] xxx -9999 -9999 9999
REFERENCE_HEIGHT VEG [m] xxx -9999 -9999 9999
ROOT_LENGTH VEG  [mm/m2] xxx -9999 -9999 9999
RESISTIVITY VEG [d/mm] xxx -9999 -9999 9999
REL_ROOTDEN VEG [m/m3] xxx -9999 -9999 9999
ROOT_RESISTANCE VEG [d] xxx -9999 -9999 9999
COWAN_ALPHA VEG [Mpa xxx -9999 -9999 9999

#surface_struct
FOREST_SPARSENESS LULT [0..1] True 0 0 1
UBC_ICEPT_FACTOR LULT [0..1] True 0 0 1
WIND_EXPOSURE LULT [0..1] False 0 0 1
MIN_MELT_FACTOR LULT [mm/d/C] True 5.04 0.0 6.0
MAX_MELT_FACTOR LULT [mm/d/C] False 6 0.0 8.0
DD_AGGRADATION LULT [1/mm] False 0.01 0.0 0.15
DD_REFREEZE_TEMP LULT [C] True 0 -4.0 4.0
REFREEZE_EXP LULT [-] True 1 -9999 9999
HBV_MELT_FOR_CORR LULT [-] True 1 -9999 9999
HBV_MELT_ASP_CORR LULT [-] True 0 -9999 9999
FETCH LULT [m] False 0 0 1000
CONV_MELT_MULT LULT [-] True 0.113 0 1
COND_MELT_MULT LULT [-] True 0.44 0 1
RAIN_MELT_MULT LULT [-] True 1 0 1
BSNOW_DISTRIB LULT [-] False 0.4 0 1
MAX_DEP_AREA_FRAC LULT [0..1] False 0 0 1
PONDED_EXP LULT [-] False 2 0.2 5.0
FOREST_PET_CORR LULT [-] True 1 0.5 1.5
AET_COEFF LULT [-] False 0.5 0 1
LAKE_REL_COEFF LULT [1/d] False 0.3 -9999 9999
GR4J_X4 LULT [d] False 1.7 -9999 9999
GAMMA_SHAPE2 LULT [-] False 1.0 0.1 10
GAMMA_SCALE2 LULT [1/d] False 3.0 0.1 20
SKY_VIEW_FACTOR LULT [-] True 0.8 -9999 9999
CONVECTION_COEFF LULT [MJ/m2/d/K] False 20 -9999 9999

#terrain_struct
DRAINAGE_DENSITY TERRAIN [km/km2] False 1 -9999 9999
HILLSLOPE_LENGTH TERRAIN [m] False 100 -9999 9999
LAMBDA TERRAIN [m] False 7.5 -9999 9999

#UBC_lapse
A0STAB GLOBAL [0..1] False 0 0 1
A0TLXM GLOBAL [0..1] False 0 0 1
A0TLNM GLOBAL [0..1] False 0 0 1
A0TLXH GLOBAL [0..1] False 0 0 1
A0TLNH GLOBAL [0..1] False 0 0 1
P0TEDL GLOBAL [0..1] False 0 0 1
P0TEDU GLOBAL [0..1] False 0 0 1
E0LLOW GLOBAL [0..1] False 0 0 1
E0LMID GLOBAL [0..1] False 0 0 1
E0LHI GLOBAL [0..1] False 0 0 1
P0GRADL GLOBAL [0..1] False 0 0 1
P0GRADM GLOBAL [0..1] False 0 0 1
P0GRADU GLOBAL [0..1] False 0 0 1
A0PELA GLOBAL [0..1] False 0 0 1
MAX_RANGE_TEMP GLOBAL [C] False 0 -9999 9999
A0PPTP GLOBAL [0..1] False 0 0 1

#UBC_snow_par
ALBASE GLOBAL [0..1] False 0 0 1
ALBREC GLOBAL [0..1] False 0 0 1
MAX_CUM_MELT GLOBAL [mm] False 0 0.0 50000
ALBSNW GLOBAL [0..1] False 0 0 1

#global_struct
UBC_LAPSE_PARAMS GLOBAL [-] xxx -9999 -9999 9999
UBC_SNOW_PARAMS GLOBAL [-] xxx -9999 -9999 9999
RESERVOIR_RELAX GLOBAL [0..1] True 0.4 0 1
ASSIMILATION_FACT GLOBAL [0..1] True 1 0 1
ASSIM_UPSTREAM_DECAY GLOBAL [1/km] True 0.01 0 1
ASSIM_TIME_DECAY GLOBAL [1/d] True 0.2 0 1
RESERVOIR_DEMOND_MULT GLOBAL [0..1] False 0 0 1
