Run   obj.function   RMSE_1        RES_STAB      par_g_1       par_g_2       par_g_3       par_g_5       par_s_1       par_s_3       par_s_4       par_s_5       par_s_6       par_s_7       par_s_8       par_sc_1      par_sc_2      par_vc_1      par_vc_4      par_vc_7      par_v_1_sai_ht  par_v_2_max_ca  par_v_5_max_sn  par_v_8_rai   par_v_11_sno  par_v_14_svfex  par_lc_1      par_lc_2      par_l_1_DEP   par_l_4_OW    par_l_5_OW    par_l_6_FOR   par_l_7_MEL   par_l_10_MIN  par_l_13_HBV  par_l_16_REF  par_l_19_HBV  par_l_22_LPET_CORR  par_l_23_ABST  href_67       Vref_67       Aref_67       slope_67      hflow_67      apwr_67       bpwr_67       href_71       Vref_71       Aref_71       slope_71      hflow_71      apwr_71       bpwr_71       href_72       Vref_72       Aref_72       slope_72      
11    3.687990E+00  3.687990E+00  0.000000E+00  2.190000E-01  7.360000E-01  -3.808992E+00  1.111873E+00  1.634123E-01  1.175672E+00  1.466496E+01  1.885454E+01  4.411006E+00  2.154731E+00  4.596997E-01  8.771155E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  4.498772E+00  5.205839E+00  1.648744E-02  5.115800E-02  8.900134E-01  8.490136E-02  9.000000E-01  2.750779E+02  4.661546E-01  9.509484E-01  1.480000E-01  3.632337E+00  2.032790E+00  7.229474E-01  4.650435E+00  7.030359E-01  5.821873E-01  4.892685E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.032415E+01  8.074310E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  1.696116E+00  5.551810E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
12    2.742240E+00  2.742240E+00  0.000000E+00  2.190000E-01  7.360000E-01  -4.288884E+00  1.486011E+00  3.089424E-01  2.314480E+00  2.319506E+00  8.559204E+00  6.917105E+00  2.182442E+00  1.988501E-01  6.648276E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  1.183213E+01  6.123684E+00  6.146152E-02  5.818256E-02  6.819919E-01  8.311198E-02  9.000000E-01  2.578768E+02  4.664289E-01  9.924677E-01  1.480000E-01  1.098386E+01  1.646385E+00  6.557764E-01  4.425418E+00  6.027297E-01  6.641935E-01  4.052593E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.478531E+01  8.627651E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  4.750632E+00  7.024748E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
13    1.404200E+00  1.404200E+00  0.000000E+00  2.190000E-01  7.360000E-01  -4.288884E+00  2.425537E+00  2.162055E-01  6.347295E+00  5.633673E+00  1.292420E+01  9.322119E+00  2.303202E+00  4.722513E-01  1.677736E+02  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  4.784803E+00  5.856715E+00  1.864419E-02  5.684754E-02  8.983377E-01  6.082937E-02  9.000000E-01  2.239881E+02  6.420887E-01  7.693075E-01  1.480000E-01  1.007502E+00  2.238387E+00  6.022834E-01  4.150976E+00  6.006053E-01  8.956277E-01  4.813610E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.038569E+01  5.665337E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  4.831058E+00  9.850074E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
14    1.687790E+00  1.687790E+00  0.000000E+00  2.190000E-01  7.360000E-01  -1.400052E+00  2.924030E+00  2.162055E-01  6.466192E+00  1.139105E+01  6.877982E+00  9.481579E+00  2.182442E+00  5.023363E-01  8.518161E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  1.421198E+01  6.740369E+00  4.486724E-02  4.138351E-02  7.870347E-01  6.502625E-02  9.000000E-01  2.885368E+02  6.290329E-01  9.663938E-01  1.480000E-01  3.583353E+00  2.286469E+00  7.166300E-01  4.192601E+00  6.006053E-01  9.101415E-01  3.819866E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.190660E+01  6.556062E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  7.833726E+00  5.650995E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
15    3.540320E+00  3.540320E+00  0.000000E+00  2.190000E-01  7.360000E-01  -1.442810E+00  9.101060E-01  2.038588E-01  2.945932E-01  1.555665E+00  2.059778E+00  1.885006E+00  2.602678E+00  4.722513E-01  1.120155E+02  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  5.408603E+00  7.820706E+00  6.611760E-02  4.950631E-02  8.221663E-01  7.805767E-02  9.000000E-01  2.620242E+02  3.854477E-01  8.692801E-01  1.480000E-01  3.071775E+00  2.052030E+00  7.544474E-01  4.131607E+00  7.208640E-01  1.117037E+00  4.200431E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  9.037907E+00  8.128330E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  4.229772E+00  8.174253E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
16    1.705760E+00  1.705760E+00  0.000000E+00  2.190000E-01  7.360000E-01  -4.288884E+00  5.288118E-01  2.170131E-01  4.379309E-01  8.461051E-01  1.172564E+01  1.835312E+00  2.182442E+00  4.722513E-01  1.160821E+02  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  3.391119E+00  6.495372E+00  1.404672E-02  3.059656E-02  6.267033E-01  8.205876E-02  9.000000E-01  2.543049E+02  6.280231E-01  8.692801E-01  1.480000E-01  4.412891E+00  1.197157E+00  5.752671E-01  4.760509E+00  5.772643E-01  1.169449E+00  4.196984E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  9.037907E+00  7.003037E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  1.427110E+01  5.265629E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
17    2.212500E+00  2.212500E+00  0.000000E+00  2.190000E-01  7.360000E-01  -2.805684E+00  4.519218E+00  3.041367E-01  3.350676E+00  5.115434E+00  1.292420E+01  2.774304E+00  2.012613E+00  9.550046E-01  1.093372E+02  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  4.784803E+00  7.820706E+00  2.769131E-02  2.665390E-02  4.798464E-01  3.351030E-02  9.000000E-01  2.478143E+02  4.654219E-01  9.030850E-01  1.480000E-01  5.838813E+00  1.224968E+00  7.179292E-01  4.470846E+00  6.006053E-01  8.956277E-01  4.375933E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  9.037907E+00  8.627651E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  9.057049E+00  8.769220E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
18    2.920560E+00  2.920560E+00  0.000000E+00  2.190000E-01  7.360000E-01  -7.316010E+00  5.288118E-01  1.609940E-01  7.974711E-01  8.499315E+00  5.755890E+00  6.881969E+00  2.182442E+00  4.391275E-01  9.093951E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  1.019323E+01  8.122508E+00  4.486724E-02  3.712097E-02  8.191039E-01  6.520260E-02  9.000000E-01  1.719600E+02  4.964367E-01  7.494076E-01  1.480000E-01  1.772883E+00  1.574244E+00  6.918716E-01  4.990132E+00  6.006053E-01  8.956277E-01  3.773967E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.355221E+01  5.844872E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  8.005002E+00  6.983607E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
19    8.030020E+00  6.030020E+00  2.000000E+00  2.190000E-01  7.360000E-01  -4.210910E+00  1.810796E+00  2.371105E-01  3.350676E+00  1.555665E+00  2.451196E+01  3.832119E+00  2.182442E+00  4.722513E-01  9.093951E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  6.779536E+00  1.108158E+01  4.486724E-02  4.916913E-02  8.191039E-01  6.502625E-02  9.000000E-01  1.855971E+02  3.719856E-01  6.852947E-01  1.480000E-01  5.573459E+00  1.499514E+00  6.495103E-01  4.403285E+00  7.559901E-01  9.697303E-01  4.208962E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  9.037907E+00  4.612966E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  1.787660E+00  8.748461E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
20    4.192720E+00  4.192720E+00  0.000000E+00  2.190000E-01  7.360000E-01  -5.797574E+00  5.288118E-01  2.162055E-01  1.524343E+00  4.780525E+00  1.717535E+01  3.742948E+00  2.038889E+00  2.907277E-01  9.406338E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  7.156665E+00  1.116037E+01  4.070186E-02  4.777837E-02  7.104440E-01  8.454409E-02  9.000000E-01  2.885368E+02  4.396931E-01  8.435537E-01  1.480000E-01  4.122084E+00  1.912786E+00  7.537741E-01  4.922013E+00  5.971633E-01  9.136025E-01  4.732524E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.240509E+01  9.738633E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  2.596578E+00  6.190614E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
