time,date,hour,precip [mm/day],Sub36 [m3/s],Sub36 (observed) [m3/s],Sub43 [m3/s],Sub43 (observed) [m3/s]
679,2004-08-10,00:00:00.00,0.402622,0.710744,1.14,1.77597,3.88
680,2004-08-11,00:00:00.00,0.249211,0.67947,1.02,1.69898,3.67
681,2004-08-12,00:00:00.00,5.33772,0.649572,0.744,1.64354,3.54
682,2004-08-13,00:00:00.00,0.180284,0.620989,0.783,1.58659,3.4
683,2004-08-14,00:00:00.00,3.52662,0.593664,0.844,1.51378,3.66
684,2004-08-15,00:00:00.00,0,0.567542,0.848,1.45004,3.75
685,2004-08-16,00:00:00.00,0,0.542569,0.751,1.38468,3.72
686,2004-08-17,00:00:00.00,0,0.518695,0.657,1.32189,3.49
687,2004-08-18,00:00:00.00,0.348442,0.495871,0.595,1.2643,3.22
688,2004-08-19,00:00:00.00,0.319972,0.474052,0.591,1.20839,3.14
689,2004-08-20,00:00:00.00,0,0.453193,0.582,1.15535,3.03
690,2004-08-21,00:00:00.00,0.0714117,0.433251,0.553,1.10445,2.87
691,2004-08-22,00:00:00.00,0,0.414187,0.539,1.05588,3.09
692,2004-08-23,00:00:00.00,0,0.395962,0.528,1.00941,2.83
693,2004-08-24,00:00:00.00,0.128588,0.378539,0.538,0.964999,2.75
694,2004-08-25,00:00:00.00,0,0.361883,0.481,0.922534,2.66
695,2004-08-26,00:00:00.00,1.01502,0.345959,0.475,0.881942,2.59
696,2004-08-27,00:00:00.00,7.34807,0.330736,0.595,0.967799,2.78
697,2004-08-28,00:00:00.00,2.23516,0.31622,0.66,1.01278,3.19
698,2004-08-29,00:00:00.00,10.6383,0.345425,0.858,1.41155,3.3
699,2004-08-30,00:00:00.00,18.5726,0.68738,1.2,2.70038,3.84
700,2004-08-31,00:00:00.00,0,0.952174,4.9,3.18255,7.01
701,2004-09-01,00:00:00.00,0.128588,0.86575,4.05,2.44503,6.41
702,2004-09-02,00:00:00.00,0,0.810441,2.03,2.03405,7.34
703,2004-09-03,00:00:00.00,0,0.779228,1.3,1.95936,5.55
704,2004-09-04,00:00:00.00,0,0.742881,1,1.86452,4.42
705,2004-09-05,00:00:00.00,0,0.711146,0.803,1.78371,3.87
706,2004-09-06,00:00:00.00,0,0.679413,0.677,1.70529,3.46
707,2004-09-07,00:00:00.00,5.01124,0.649722,0.562,1.6301,3.2
708,2004-09-08,00:00:00.00,4.76057,0.670833,0.555,1.59665,3.14
709,2004-09-09,00:00:00.00,3.75883,0.866928,0.583,1.68417,3.06
710,2004-09-10,00:00:00.00,14.1417,1.05627,1,2.48247,3.68
711,2004-09-11,00:00:00.00,0,1.01844,1.06,2.82229,4.24
712,2004-09-12,00:00:00.00,0,0.94619,0.818,2.07267,4.18
713,2004-09-13,00:00:00.00,0,0.912968,0.698,1.73218,3.93
714,2004-09-14,00:00:00.00,0,0.868902,0.606,1.68804,3.59
715,2004-09-15,00:00:00.00,0,0.832471,0.536,1.59082,3.32
716,2004-09-16,00:00:00.00,0,0.795006,0.503,1.53095,3.13
717,2004-09-17,00:00:00.00,1.01372,0.760411,0.499,1.4592,2.96
718,2004-09-18,00:00:00.00,0,0.726772,0.418,1.39678,2.88
719,2004-09-19,00:00:00.00,0,0.694875,0.394,1.33465,2.75
720,2004-09-20,00:00:00.00,0,0.664261,0.39,1.27614,2.63
721,2004-09-21,00:00:00.00,0,0.63505,0.405,1.21994,2.54
722,2004-09-22,00:00:00.00,0,0.607098,0.413,1.16625,2.5
723,2004-09-23,00:00:00.00,0,0.580389,0.385,1.11495,2.43
724,2004-09-24,00:00:00.00,0,0.554849,0.502,1.06588,2.36
725,2004-09-25,00:00:00.00,0,0.530435,0.496,1.01899,2.34
726,2004-09-26,00:00:00.00,0,0.507094,0.505,0.974142,2.35
727,2004-09-27,00:00:00.00,0,0.484781,0.479,0.931282,2.4
728,2004-09-28,00:00:00.00,0,0.46345,0.418,0.890302,2.38
729,2004-09-29,00:00:00.00,0,0.443057,0.395,0.851128,2.32
730,2004-09-30,00:00:00.00,0,0.423562,0.403,0.813676,2.27
